Identity and access governance;Kimlik ve erişim denetimi;Kimlik ve erişim denetimi, kullanıcıların sisteme nasıl erişebileceğini ve hangi verilere erişebileceklerini yönetir.;Identity and access governance manages how users can access the system and what data they can access.
Cyber attack;Siber saldırı;Siber saldırı, bir bilgisayar ağına veya verilere zarar verme amacıyla yapılan saldırıdır.;A cyber attack is an attack on a computer network or data with the intent to cause harm.
Denial of service attack;Hizmet engelleme saldırısı;Hizmet engelleme saldırısı, bir web sitesine ya da ağa aşırı trafik göndererek hizmeti engelleme amacıyla yapılan saldırıdır.;A denial of service attack is an attack that aims to disrupt the service of a website or network by sending excessive traffic.
Malware;Zararlı yazılım;Zararlı yazılım, bilgisayara zarar verme amacıyla yüklenen yazılımdır.;Malware is software that is installed on a computer with the intent to cause harm.
Virus;Virüs;Virüs, bilgisayara zarar verme amacıyla yüklenen yazılımdır.;A virus is software that is installed on a computer with the intent to cause harm.
Trojan;Trojen;Trojen, bilgisayara zarar verme amacıyla yüklenen yazılımdır.;A Trojan is software that is installed on a computer with the intent to cause harm.
Worm;Solucan;Solucan, bilgisayara zarar verme amacıyla yüklenen yazılımdır.;A worm is software that is installed on a computer with the intent to cause harm.
Rootkit;Kök araç takımı;Kök araç takımı, bilgisayarın kök dizinine zararlı yazılım yüklemeyi amaçlar.;A rootkit aims to install malicious software in the root directory of a computer.
Phishing;Phishing;Phishing, kullanıcıların kişisel bilgilerini çalmak amacıyla yapılan bir saldırıdır.;Phishing is an attack that aims to steal users' personal information.
Ransomware;Ödül talep eden yazılım;Ödül talep eden yazılım, verilerin kilidini açmak için ödeme talep eden yazılımdır.;Ransomware is software that demands payment to unlock data.
Adware;Reklam yazılımı;Reklam yazılımı, kullanıcının bilgisayarına reklam gösterme amacıyla yüklenen yazılımdır.;Adware is software that is installed on a computer with the intent to show advertisements to the user.
Scalability;Ölçeklenebilirlik;Ölçeklenebilirlik, bir sistemin büyümesine veya işlem hacminin artmasına karşı dayanıklı olmasıdır.;Scalability is the ability of a system to handle growth or an increase in workload.
High availability;Yüksek kullanılabilirlik;Yüksek kullanılabilirlik, bir sistemin çok az kesintiyle hizmet verme yeteneğidir.;High availability is the ability of a system to provide service with very little downtime.
Load balancing;Yük dengelenme;Yük dengelenme, bir ağın yükünü dengeli bir şekilde dağıtmasıdır.;Load balancing is the distribution of workload across a network in a balanced manner.
Fault tolerance;Hata toleransı;Hata toleransı, bir sistemin hata durumlarına karşı dayanıklı olmasıdır.;Fault tolerance is the ability of a system to withstand errors.
Resilience;Dayanıklılık;Dayanıklılık, bir sistemin hata durumlarına veya zararlı etkilere karşı esnek olmasıdır.;Resilience is the ability of a system to be flexible in the face of errors or harmful impacts.
Redundancy;Fazlalık;Fazlalık, bir sistemin güvenilirliğini artırmak için ekstra önlemlerdir.;Redundancy is extra measures taken to increase the reliability of a system.
Disaster recovery;Afet önleme;Afet önleme, bir sistemin afetlerden etkilenmemesi için alınan önlemlerdir.;Disaster recovery is measures taken to prevent a system from being affected by disasters.
Backup;Yedekleme;Yedekleme, verilerin kaybını önlemek için yapılan işlemdir.;Backup is the process of protecting against data loss.
Data center;Veri merkezi;Veri merkezi, verilerin saklanması, işlenmesi ve dağıtılması için kullanılan bir yerdir.;A data center is a location used for storing, processing, and distributing data.
Cloud computing;Bulut bilgisayarlık;Bulut bilgisayarlık, internet üzerinden verilerin saklanması, işlenmesi ve dağıtılması için kullanılan bir yöntemdir.;Cloud computing is a method of storing, processing, and distributing data over the internet.
Distributed system;Dağıtık sistem;Dağıtık sistem, birbiriyle ilişkili birden çok bilgisayarın bir arada çalıştığı sistemdir.;A distributed system is a system where multiple computers work together in a connected manner.
Microservices;Mikro hizmetler;Mikro hizmetler, bir sistemi büyük parçalara bölerek bunların her birinin ayrı ayrı çalıştırılmasıdır.;Microservices is the practice of breaking up a system into smaller pieces and running each piece separately.
Containerization;Kapsülleştirme;Kapsülleştirme, bir uygulamanın çalışması için gerekli olan tüm kaynakların bir arada tutulmasıdır.;Containerization is the practice of keeping all resources needed to run an application together.
Serverless computing;Sunucusuz bilgisayarlık;Sunucusuz bilgisayarlık, uygulamaların sunucu olmadan çalıştırılmasıdır.;Serverless computing is the practice of running applications without a server.
REST;REST;REST, bir web servisinin tasarım şeklidir.;REST is a design pattern for web services.
GraphQL;GraphQL;GraphQL, bir API tasarım dilidir.;GraphQL is a API design language.
API;API;API, bir uygulamanın diğer uygulamalarla etkileşim kurmasına olanak sağlar.;An API allows an application to interact with other applications.
Reactive programming;Reaktif programlama;Reaktif programlama, sistemlerin hızlı ve esnek bir şekilde tepki vermesini sağlar.;Reactive programming allows systems to respond quickly and flexibly.
Event-driven architecture;Olay odaklı mimari;Olay odaklı mimari, bir sistemin olayların gerçekleşmesine göre tepki vermesine olanak sağlar.;Event-driven architecture allows a system to respond based on the occurrence of events.
Data pipeline;Veri boru hattı;Veri boru hattı, verilerin toplandıktan sonra işlenip, depolandığı ve dağıtıldığı süreçtir.;A data pipeline is the process of collecting, processing, storing, and distributing data.
Data lake;Veri gölü;Veri gölü, verilerin toplandıktan sonra işlenip, depolandığı ve dağıtıldığı yerdir.;A data lake is a place where data is collected, processed, stored, and distributed.
Data warehouse;Veri depolama merkezi;Veri depolama merkezi, verilerin işlenip, depolandığı ve analiz edildiği yerdir.;A data warehouse is a place where data is processed, stored, and analyzed.
Big data;Büyük veri;Büyük veri, işlenmesi zor olan ve çok büyük miktarlarda olan verilerdir.;Big data refers to large and complex sets of data that are difficult to process.
Machine learning;Makine öğrenimi;Makine öğrenimi, bilgisayarların verilerden öğrendikleri ve bunları kendilerine özgü karar verme yöntemleri oluşturmalarıdır.;Machine learning is the ability of computers to learn from data and create their own decision-making methods.
Deep learning;Derin öğrenme;Derin öğrenme, makine öğreniminde kullanılan derin sinir ağlarının kullanılmasıdır.;Deep learning is the use of deep neural networks in machine learning.
Neural network;Sinir ağı;Sinir ağı, verilerin işlenmesi ve öğrenilmesi için tasarımlanmış bir yapıdır.;A neural network is a structure designed to process and learn from data.
Natural language processing;Doğal dil işleme;Doğal dil işleme, bilgisayarların doğal dilleri anlamaları ve bu dilleri kullanarak işlem yapmalarıdır.;Natural language processing is the ability of computers to understand and process natural languages.
Data visualization;Veri görselleştirme;Veri görselleştirme, verileri anlamlı şekillerde göstermeyi amaçlar.;Data visualization aims to display data in meaningful ways.
Data analysis;Veri analizi;Veri analizi, verileri inceleyip, anlamlı sonuçlar çıkarmayı amaçlar.;Data analysis aims to examine data and draw meaningful conclusions.
Business intelligence;İş zekası;İş zekası, verileri kullanarak, işletmelerin performansını ve stratejik kararlarını desteklemeyi amaçlar.;Business intelligence aims to use data to support the performance and strategic decision-making of businesses.
Predictive analytics;Öngörü analizi;Öngörü analizi, verileri kullanarak, gelecekteki olası durumları tahmin etmeyi amaçlar.;Predictive analytics aims to use data to predict possible future situations.
Data governance;Veri yönetimi;Veri yönetimi, verilerin nasıl kullanılacağı, saklanacağı ve güvenliğinin sağlanacağı konularının yönetimidir.;Data governance is the management of how data is used, stored, and secured.
Data quality;Veri kalitesi;Veri kalitesi, verilerin doğruluğu, güncelliği ve tamamlığıdır.;Data quality refers to the accuracy, timeliness, and completeness of data.
Data security;Veri güvenliği;Veri güvenliği, verilerin yetkisiz erişimden, değiştirilmesinden veya yok edilmesinden korunmasıdır.;Data security is the protection of data from unauthorized access, modification, or destruction.
Data privacy;Veri gizliliği;Veri gizliliği, bir kişinin verilerinin nasıl toplandığı, işlendiği ve paylaşıldığı konularının gizliliğidir.;Data privacy is the confidentiality of how an individual's data is collected, processed, and shared.
Data retention;Veri saklama;Veri saklama, verilerin belli bir süre boyunca saklanmasıdır.;Data retention is the practice of storing data for a certain period of time.
Data ethics;Veri etiği;Veri etiği, verilerin toplandığı, kullanıldığı ve paylaşıldığı sırada, insan haklarına ve değerlere uygun bir şekilde davranılmasıdır.;Data ethics is the practice of behaving in a way that is respectful of human rights and values when collecting, using, and sharing data.
Data modeling;Veri modelleme;Veri modelleme, verilerin nasıl saklanacağı ve işleneceği konularının tasarımıdır.;Data modeling is the design of how data will be stored and processed.
Data architecture;Veri mimarisi;Veri mimarisi, verilerin nasıl toplandığı, işlendiği, saklandığı ve dağıtıldığı konularının tasarımıdır.;Data architecture is the design of how data is collected, processed, stored, and distributed.
Data storage;Veri saklama;Veri saklama, verilerin fiziksel olarak saklandığı yerdir.;Data storage is the physical place where data is stored.
Data transmission;Veri iletimi;Veri iletimi, verilerin bir yerden diğer yere taşınmasıdır.;Data transmission is the movement of data from one place to another.
Data access;Veri erişimi;Veri erişimi, verilere ulaşma yetkisidir.;Data access is the ability to access data.
Data processing;Veri işleme;Veri işleme, verilerin işlenmesi ve değiştirilmesidir.;Data processing is the manipulation and modification of data.
Data manipulation;Veri manipülasyonu;Veri manipülasyonu, verilerin değiştirilmesidir.;Data manipulation is the alteration of data.
Data analysis;Veri analizi;Veri analizi, verilerin incelenip, anlamlı sonuçlar çıkarmayı amaçlar.;Data analysis is the examination of data to draw meaningful conclusions.
Data visualization;Veri görselleştirme;Veri görselleştirme, verileri anlamlı şekillerde göstermeyi amaçlar.;Data visualization aims to display data in meaningful ways.
Data cleansing;Veri temizleme;Veri temizleme, verilerin doğruluğunu ve kalitesini artırmak için yapılan işlemdir.;Data cleansing is the process of improving the accuracy and quality of data.
Data scrubbing;Veri silme;Veri silme, verilerin güncellenmesi ve temizlenmesidir.;Data scrubbing is the updating and cleaning of data.
Data wrangling;Veri manipülasyonu;Veri manipülasyonu, verilerin işlenmesi ve değiştirilmesidir.;Data wrangling is the manipulation and modification of data.
Data warehousing;Veri depolama merkezi;Veri depolama merkezi, verilerin işlenip, depolandığı ve analiz edildiği yerdir.;A data warehouse is a place where data is processed, stored, and analyzed.
Data integration;Veri entegrasyonu;Veri entegrasyonu, farklı veri kaynaklarının bir araya getirilmesidir.;Data integration is the combining of different data sources.
Data migration;Veri geçişi;Veri geçişi, verilerin bir sistemden diğerine taşınmasıdır.;Data migration is the movement of data from one system to another.
Data federation;Veri birleştirme;Veri birleştirme, farklı veri kaynaklarının bir arada gösterilmesidir.;Data federation is the display of different data sources together.
Data governance;Veri yönetimi;Veri yönetimi, verilerin nasıl kullanılacağı, saklanacağı ve güvenliğinin sağlanacağı konularının yönetimidir.;Data governance is the management of how data is used, stored, and secured.
Data compression;Veri sıkıştırma;Veri sıkıştırma, verilerin boyutunun azaltılması işlemidir.;Data compression is the process of reducing the size of data.
Data decompression;Veri açma;Veri açma, veri sıkıştırma işleminden sonra verilerin eski haline getirilmesi işlemdir.;Data decompression is the process of restoring data to its original form after data compression.
Data encryption;Veri şifreleme;Veri şifreleme, verilerin güvenliğini sağlamak için yapılan işlemdir.;Data encryption is the process of securing data.
Data decryption;Veri şifre çözme;Veri şifre çözme, veri şifreleme işleminden sonra verilerin eski haline getirilmesi işlemdir.;Data decryption is the process of restoring data to its original form after data encryption.
Data backup;Veri yedekleme;Veri yedekleme, verilerin korunması için yapılan işlemdir.;Data backup is the process of protecting data.
Data recovery;Veri kurtarma;Veri kurtarma, verilerin yedeklerinden geri getirilmesi işlemdir.;Data recovery is the process of retrieving data from backups.
Data storage;Veri saklama;Veri saklama, verilerin fiziksel olarak saklandığı yerdir.;Data storage is the physical place where data is stored.
Data transmission;Veri iletimi;Veri iletimi, verilerin bir yerden diğer yere taşınmasıdır.;Data transmission is the movement of data from one place to another.
Data access;Veri erişimi;Veri erişimi, verilere ulaşma yetkisidir.;Data access is the ability to access data.
Data processing;Veri işleme;Veri işleme, verilerin işlenmesi ve değiştirilmesidir.;Data processing is the manipulation and modification of data.
Data mining;Veri madenciliği;Veri madenciliği, veri setlerinde gizli modele ulaşmayı amaçlayan yöntemleri kullanarak veri toplamayı ve analiz etmeyi içerir.;Data mining involves using methods that aim to discover hidden patterns in data sets, collecting and analyzing data.
Machine learning;Makine öğrenimi;Makine öğrenimi, bilgisayarların verilerden öğrenme yeteneğidir.;Machine learning is the ability of computers to learn from data.
Artificial intelligence;Yapay zeka;Yapay zeka, bilgisayarların insan gibi düşünme yeteneğidir.;Artificial intelligence is the ability of computers to think like humans.
Deep learning;Derin öğrenme;Derin öğrenme, yapay zeka teknolojisinde bir alt dalıdır ve makine öğrenimi yöntemlerini kullanarak derin sinir ağları oluşturulmasını amaçlar.;Deep learning is a subfield of artificial intelligence technology that aims to create deep neural networks using machine learning methods.
Natural language processing;Doğal dil işleme;Doğal dil işleme, bilgisayarların doğal dil kullanılarak veri girişini ve çıkışını gerçekleştirme yeteneğidir.;Natural language processing is the ability of computers to input and output data using natural language.
Robotics;Robotik;Robotik, bilgisayar ve makine mühendisliği alanlarında çalışan bir dalıdır ve robotların tasarımı, üretimi ve kullanımıyla ilgilidir.;Robotics is a field that works in the areas of computer and machine engineering, and deals with the design, production, and use of robots.
Internet of Things;Nesnelerin İnterneti;Nesnelerin İnterneti, fiziksel nesnelerin internete bağlı hale getirilmesi teknolojisidir.;The Internet of Things is the technology of connecting physical objects to the internet.
Cybersecurity;Siber güvenlik;Siber güvenlik, internet üzerinden yapılan işlemlerin güvenliğini sağlama konusudur.;Cybersecurity is the practice of ensuring the security of internet transactions.
Cloud computing;Bulut bilişim;Bulut bilişim, internet üzerinden hizmetler sunan bir modeldir.;Cloud computing is a model that delivers services over the internet.
Data visualization;Veri görselleştirme;Veri görselleştirme, verileri anlamlı şekillerde göstermeyi amaçlar.;Data visualization aims to display data in meaningful ways.
Data reporting;Veri raporlama;Veri raporlama, verilerin anlamlı şekillerde sunulmasıdır.;Data reporting is the presentation of data in meaningful ways.
Data cleansing;Veri temizleme;Veri temizleme, verilerin doğruluğunu ve kalitesini artırmak için yapılan işlemdir.;Data cleansing is the process of improving the accuracy and quality of data.
Data scrubbing;Veri silme;Veri silme, verilerin güncellenmesi ve temizlenmesidir.;Data scrubbing is the updating and cleaning of data.
Data wrangling;Veri manipülasyonu;Veri manipülasyonu, verilerin işlenmesi ve değiştirilmesidir.;Data wrangling is the manipulation and modification of data.
Data warehousing;Veri depolama merkezi;Veri depolama merkezi, verilerin işlenip, depolandığı ve analiz edildiği yerdir.;A data warehouse is a place where data is processed, stored, and analyzed.
Data integration;Veri entegrasyonu;Veri entegrasyonu, farklı veri kaynaklarının bir araya getirilmesidir.;Data integration is the combining of different data sources.
Data structure;Veri yapısı;Veri yapısı, verilerin nasıl saklanacağı ve işleneceği konusunda bir tasarımdır.;A data structure is a design for how data will be stored and processed.
Data type;Veri türü;Veri türü, verilerin ne tür olduğunu belirtir.;A data type specifies what kind of data it is.
Data validation;Veri doğrulama;Veri doğrulama, verilerin doğruluğunun kontrol edilmesidir.;Data validation is the checking of the accuracy of data.
Data normalization;Veri normalleştirme;Veri normalleştirme, veri setlerinin standart hale getirilmesi işlemdir.;Data normalization is the process of standardizing data sets.
Data indexing;Veri indeksleme;Veri indeksleme, verilerin daha hızlı erişilebilmesi için yapılan işlemdir.;Data indexing is the process of making data more accessible for faster retrieval.
Data quality;Veri kalitesi;Veri kalitesi, verilerin doğruluğu, güncelliği, tamamlığı ve uygunluğudur.;Data quality is the accuracy, currency, completeness, and appropriateness of data.
Data analytics;Veri analizi;Veri analizi, verilerin incelenmesi ve anlamlı bilgiler çıkarılması işlemdir.;Data analytics is the process of examining and extracting meaningful information from data.
Data modeling;Veri modelleme;Veri modelleme, verilerin nasıl yapılandırılacağı konusunda bir tasarımdır.;Data modeling is a design for how data will be structured.
Data mapping;Veri haritalama;Veri haritalama, iki veri setinin birbirine nasıl eşleneceğini gösteren bir işlemdir.;Data mapping is the process of showing how two data sets will be matched to each other.
Data fusion;Veri birleştirme;Veri birleştirme, farklı veri setlerinin bir araya getirilmesi işlemdir.;Data fusion is the process of combining different data sets.
Algorithm;Algoritma;Algoritma, bir problemi çözmek için izlenmesi gereken adımlar dizisidir.;An algorithm is a set of steps to follow to solve a problem.
Search algorithm;Arama algoritması;Arama algoritması, veri setlerinde arama işlemini gerçekleştirir.;A search algorithm performs the search operation on data sets.
Sorting algorithm;Sıralama algoritması;Sıralama algoritması, veri setlerini sıralama işlemini gerçekleştirir.;A sorting algorithm performs the sorting operation on data sets.
Hash function;Hash fonksiyonu;Hash fonksiyonu, verileri belirli bir şekle dönüştürür ve bu verilerin benzersiz bir şekilde tanımlanmasını sağlar.;A hash function transforms data into a specific form and allows for the unique identification of the data.
Hashing algorithm;Hashleme algoritması;Hashleme algoritması, veri setlerinde hash fonksiyonu kullanılarak verilerin benzersiz şekilde tanımlanmasını gerçekleştirir.;A hashing algorithm uses a hash function to uniquely identify data in data sets.
Compression algorithm;Sıkıştırma algoritması;Sıkıştırma algoritması, veri sıkıştırma işlemini gerçekleştirir.;A compression algorithm performs the data compression operation.
Encryption algorithm;Şifreleme algoritması;Şifreleme algoritması, veri şifreleme işlemini gerçekleştirir.;An encryption algorithm performs the data encryption operation.
Error correction algorithm;Hata düzeltme algoritması;Hata düzeltme algoritması, veri setlerinde bulunan hataları düzeltme işlemini gerçekleştirir.;An error correction algorithm performs the operation of correcting errors in data sets.
Machine learning algorithm;Makine öğrenimi algoritması;Makine öğrenimi algoritması, makine öğrenimi işlemini gerçekleştirir.;A machine learning algorithm performs the machine learning operation.
Neural network algorithm;Sinir ağı algoritması;Sinir ağı algoritması, sinir ağı modelinin oluşturulması işlemini gerçekleştirir.;A neural network algorithm performs the operation of creating a neural network model.
Recursive algorithm;Özyinelemeli algoritma;Özyinelemeli algoritma, kendisini tekrar eden adımlar içeren bir algoritmadır.;A recursive algorithm is an algorithm that includes repeating steps.
Dynamic programming algorithm;Dinamik programlama algoritması;Dinamik programlama algoritması, çok boyutlu problemleri çözmek için kullanılan bir algoritmadır.;A dynamic programming algorithm is an algorithm used to solve multi-dimensional problems.
Greedy algorithm;Avarici algoritma;Avarici algoritma, her adımda en iyi seçimi yapmayı amaçlayan bir algoritmadır.;A greedy algorithm is an algorithm that aims to make the best choice at each step.
Divide and conquer algorithm;Böl ve yönet algoritması;Böl ve yönet algoritması, problemleri parçalara ayırarak çözme yöntemidir.;A divide and conquer algorithm is a method of solving problems by dividing them into smaller parts.
Backtracking algorithm;Geri adım alma algoritması;Geri adım alma algoritması, problemleri çözmek için adım adım geri gitme yöntemidir.;A backtracking algorithm is a method of solving problems by going back step by step.
Brute force algorithm;Kasıtlı güç algoritması;Kasıtlı güç algoritması, problemleri çözmek için tüm olası seçenekleri deneyen bir algoritmadır.;A brute force algorithm is an algorithm that tries all possible options to solve problems.
Genetic algorithm;Genetik algoritma;Genetik algoritma, problemleri çözmek için genetik yöntemler kullanan bir algoritmadır.;A genetic algorithm is an algorithm that uses genetic methods to solve problems.
Hill climbing algorithm;Tepe tırmanma algoritması;Tepe tırmanma algoritması, problemleri çözmek için en iyi çözümü aramaya yönelik bir algoritmadır.;A hill climbing algorithm is an algorithm that searches for the best solution to solve problems.
Simulated annealing algorithm;Benzetimli annealma algoritması;Benzetimli annealma algoritması, problemleri çözmek için tesadüfi seçimler yaparak bir çözüm arayan bir algoritmadır.;A simulated annealing algorithm is an algorithm that searches for a solution by making random choices to solve problems.
Iterative algorithm;Yineleyici algoritma;Yineleyici algoritma, bir problemi çözmek için bir döngü içinde aynı işlemleri tekrar eden bir algoritmadır.;An iterative algorithm is an algorithm that repeats the same operations within a loop to solve a problem.
Approximation algorithm;Yaklaşık algoritma;Yaklaşık algoritma, problemlerin tam çözümünü bulmak yerine, bir çözümün bir yaklaşımını bulan bir algoritmadır.;An approximation algorithm is an algorithm that finds an approximation of a solution instead of finding the exact solution to a problem.
Heuristic algorithm;Heuristik algoritma;Heuristik algoritma, problemlerin çözümünde yararlı olabilen ipuçları veren bir algoritmadır.;A heuristic algorithm is an algorithm that provides useful hints for solving problems.
Exhaustive search algorithm;Kesintisiz arama algoritması;Kesintisiz arama algoritması, problemlerin tüm olası çözümlerini deneyen bir algoritmadır.;An exhaustive search algorithm is an algorithm that tries all possible solutions to problems.
Genetic programming algorithm;Genetik programlama algoritması;Genetik programlama algoritması, problemleri çözmek için genetik yöntemleri kullanan bir algoritmadır.;A genetic programming algorithm is an algorithm that uses genetic methods to solve problems.
Ant colony optimization algorithm;Karınca kolonisi optimizasyon algoritması;Karınca kolonisi optimizasyon algoritması, problemleri çözmek için karıncaların takip ettiği yöntemleri taklit eden bir algoritmadır.;An ant colony optimization algorithm is an algorithm that mimics the methods followed by ants to solve problems.
Particle swarm optimization algorithm;Parçacık sürü optimizasyon algoritması;Parçacık sürü optimizasyon algoritması, problemleri çözmek için parçacıkların takip ettiği yöntemleri taklit eden bir algoritmadır.;A particle swarm optimization algorithm is an algorithm that mimics the methods followed by particles to solve problems.
Artificial neural network algorithm;Yapay sinir ağı algoritması;Yapay sinir ağı algoritması, problemleri çözmek için insan beynini taklit eden bir yapay sinir ağı kullanan bir algoritmadır.;An artificial neural network algorithm is an algorithm that uses an artificial neural network that mimics the human brain to solve problems.
Fuzzy logic algorithm;Bulanık mantık algoritması;Bulanık mantık algoritması, problemleri çözmek için bulanık mantık kurallarını kullanan bir algoritmadır.;A fuzzy logic algorithm is an algorithm that uses fuzzy logic rules to solve problems.
Evolutionary algorithm;Evrimsel algoritma;Evrimsel algoritma, problemleri çözmek için evrim teorisi temelli yöntemleri kullanan bir algoritmadır.;An evolutionary algorithm is an algorithm that uses evolutionary theory-based methods to solve problems.
Artificial intelligence algorithm;Yapay zeka algoritması;Yapay zeka algoritması, problemleri çözmek için yapay zeka tekniklerini kullanan bir algoritmadır.;An artificial intelligence algorithm is an algorithm that uses artificial intelligence techniques to solve problems.
Natural language processing algorithm;Doğal dil işleme algoritması;Doğal dil işleme algoritması, problemleri çözmek için doğal dil işleme tekniklerini kullanan bir algoritmadır.;A natural language processing algorithm is an algorithm that uses natural language processing techniques to solve problems.
Data mining algorithm;Veri madenciliği algoritması;Veri madenciliği algoritması, problemleri çözmek için veri madenciliği yöntemlerini kullanan bir algoritmadır.;A data mining algorithm is an algorithm that uses data mining methods to solve problems.
Deep learning algorithm;Derin öğrenme algoritması;Derin öğrenme algoritması, problemleri çözmek için derin öğrenme yöntemlerini kullanan bir algoritmadır.;A deep learning algorithm is an algorithm that uses deep learning methods to solve problems.
Computer vision algorithm;Bilgisayar görüş algoritması;Bilgisayar görüş algoritması, problemleri çözmek için bilgisayar görüş tekniklerini kullanan bir algoritmadır.;A computer vision algorithm is an algorithm that uses computer vision techniques to solve problems.
Decision tree algorithm;Karar ağacı algoritması;Karar ağacı algoritması, problemleri çözmek için karar ağacı yapısını kullanan bir algoritmadır.;A decision tree algorithm is an algorithm that uses a decision tree structure to solve problems.
Support vector machine algorithm;Destek vektör makinesi algoritması;Destek vektör makinesi algoritması, problemleri çözmek için destek vektör makinesi yöntemlerini kullanan bir algoritmadır.;A support vector machine algorithm is an algorithm that uses support vector machine methods to solve problems.
K-means clustering algorithm;K-means kümeleme algoritması;K-means kümeleme algoritması, problemleri çözmek için K-means kümeleme yöntemlerini kullanan bir algoritmadır.;A K-means clustering algorithm is an algorithm that uses K-means clustering methods to solve problems.
Decision tree learning algorithm;Karar ağacı öğrenme algoritması;Karar ağacı öğrenme algoritması, problemleri çözmek için karar ağacı öğrenme yöntemlerini kullanan bir algoritmadır.;A decision tree learning algorithm is an algorithm that uses decision tree learning methods to solve problems.
Random forest algorithm;Rastgele orman algoritması;Rastgele orman algoritması, problemleri çözmek için rastgele orman yöntemlerini kullanan bir algoritmadır.;A random forest algorithm is an algorithm that uses random forest methods to solve problems.
Linear regression algorithm;Lineer regresyon algoritması;Lineer regresyon algoritması, problemleri çözmek için lineer regresyon yöntemlerini kullanan bir algoritmadır.;A linear regression algorithm is an algorithm that uses linear regression methods to solve problems.
Logistic regression algorithm;Lojistik regresyon algoritması;Lojistik regresyon algoritması, problemleri çözmek için lojistik regresyon yöntemlerini kullanan bir algoritmadır.;A logistic regression algorithm is an algorithm that uses logistic regression methods to solve problems.
Neural network algorithm;Sinir ağı algoritması;Sinir ağı algoritması, problemleri çözmek için sinir ağı yöntemlerini kullanan bir algoritmadır.;A neural network algorithm is an algorithm that uses neural network methods to solve problems.
Principal component analysis algorithm;Birincil bileşen analizi algoritması;Birincil bileşen analizi algoritması, problemleri çözmek için birincil bileşen analizi yöntemlerini kullanan bir algoritmadır.;A principal component analysis algorithm is an algorithm that uses principal component analysis methods to solve problems.
Multivariate linear regression algorithm;Çok değişkenli lineer regresyon algoritması;Çok değişkenli lineer regresyon algoritması, problemleri çözmek için çok değişkenli lineer regresyon yöntemlerini kullanan bir algoritmadır.;A multivariate linear regression algorithm is an algorithm that uses multivariate linear regression methods to solve problems.
Artificial intelligence algorithm;Yapay zeka algoritması;Yapay zeka algoritması, problemleri çözmek için yapay zeka tekniklerini kullanan bir algoritmadır.;An artificial intelligence algorithm is an algorithm that uses artificial intelligence techniques to solve problems.
Machine learning algorithm;Makine öğrenimi algoritması;Makine öğrenimi algoritması, problemleri çözmek için makine öğrenimi yöntemlerini kullanan bir algoritmadır.;A machine learning algorithm is an algorithm that uses machine learning methods to solve problems.
Deep learning algorithm;Derin öğrenme algoritması;Derin öğrenme algoritması, problemleri çözmek için derin öğrenme yöntemlerini kullanan bir algoritmadır.;A deep learning algorithm is an algorithm that uses deep learning methods to solve problems.
Natural language processing algorithm;Doğal dil işleme algoritması;Doğal dil işleme algoritması, problemleri çözmek için doğal dil işleme tekniklerini kullanan bir algoritmadır.;A natural language processing algorithm is an algorithm that uses natural language processing techniques to solve problems.
Computer vision algorithm;Bilgisayar görüş algoritması;Bilgisayar görüş algoritması, problemleri çözmek için bilgisayar görüş tekniklerini kullanan bir algoritmadır.;A computer vision algorithm is an algorithm that uses computer vision techniques to solve problems.
Image recognition algorithm;Görüntü tanıma algoritması;Görüntü tanıma algoritması, problemleri çözmek için görüntü tanıma yöntemlerini kullanan bir algoritmadır.;An image recognition algorithm is an algorithm that uses image recognition methods to solve problems.
Data mining algorithm;Veri madenciliği algoritması;Veri madenciliği algoritması, problemleri çözmek için veri madenciliği yöntemlerini kullanan bir algoritmadır.;A data mining algorithm is an algorithm that uses data mining methods to solve problems.
Clustering algorithm;Kümeleme algoritması;Kümeleme algoritması, problemleri çözmek için kümeleme yöntemlerini kullanan bir algoritmadır.;A clustering algorithm is an algorithm that uses clustering methods to solve problems.
Algorithm complexity;Algoritma karmaşıklığı;Algoritma karmaşıklığı, algoritmanın zaman ve hafıza gereksinimlerinin ölçüsüdür.;Algorithm complexity is a measure of the time and memory requirements of an algorithm.
Recursion;Özyineleme;Özyineleme, bir fonksiyonun kendi çağrısını yapmasıdır.;Recursion is when a function calls itself.
Asymptotic complexity;Asimptotik karmaşıklık;Asimptotik karmaşıklık, bir algoritmanın veri miktarının sonsuza kadar büyüdüğü durumda zaman ve hafıza gereksinimlerinin nasıl değişeceğini gösterir.;Asymptotic complexity shows how the time and memory requirements of an algorithm will change as the amount of data grows indefinitely.
Big O notation;Büyük O gösterimi;Büyük O gösterimi, bir algoritmanın asimptotik karmaşıklığını gösterir.;Big O notation shows the asymptotic complexity of an algorithm.
Virtual memory;Sanal bellek;Sanal bellek, bir bilgisayarın gerçek belleklerine ek olarak, sabit disk veya diğer depolama aygıtlarını kullanarak oluşturulan bir bellek türüdür.;Virtual memory is a type of memory created by using a computer's real memory in addition to a hard drive or other storage devices.
Cache memory;Önbellek belleği;Önbellek belleği, bilgisayar işlemlerini hızlandırmak için kullanılan, çok hızlı ama küçük bir bellektir.;Cache memory is a small but fast memory used to speed up computer operations.
Random access memory (RAM);Rastgele erişim belleği (RAM);Rastgele erişim belleği (RAM), bilgisayarın işlemlerini yaparken geçici olarak verileri sakladığı bellektir.;Random access memory (RAM) is the memory where a computer temporarily stores data while performing operations.
